timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650283880354,190,Create List,200,OK,Board 2-1,text,true,,989,936,1,4,https://stagingapi.cicle.app/api/v1/lists,190,0,120
1650283880357,226,Notification private Chat,200,OK,Notification 4-1,text,true,,1372,943,1,4,https://stagingapi.cicle.app/api/v1/chats?limit=1&page=1&sortBy=updatedAt&orderBy=desc&filter=unread&type=chat&companyId=61fd1bca835d691ce6fc470d,226,0,118
1650283880545,184,Card Pertamax First Kanban to Second,200,OK,Board 2-1,text,true,,3872,1128,1,4,https://staging.cicle.app/api/v1/lists/position,184,0,151
1650283880729,58,Card Pertamax Second Kanban to First,200,OK,Board 2-1,text,true,,3872,1128,1,4,https://staging.cicle.app/api/v1/lists/position,58,0,0
1650283880787,33,Card Guard from FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1158,1,4,https://staging.cicle.app/api/v1/cards/position,33,0,0
1650283880820,56,Card Guard from SECOND TO FIRST,200,OK,Board 2-1,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,54,0,0
1650283880345,551,Text message,200,OK,GroupChat 1-1,text,true,,1581,949,2,8,https://stagingapi.cicle.app/api/v1/group-chats/624efe4a3ddcc12e5fb91ef7/messages,551,0,118
1650283880876,33,Members Toggle,200,OK,Board 2-1,text,true,,3872,915,2,8,https://staging.cicle.app/api/v1/cards/624fdddf3ddcc172ffb9d9c5/members/624bd6240584aec0d02efa3a,33,0,0
1650283880910,34,List Kanban From FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,34,0,0
1650283880944,44,List Kanban From SECOND TO FIRST,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,44,0,0
1650283880863,356,Notification private Chat,200,OK,Notification 4-2,text,true,,1371,943,2,8,https://stagingapi.cicle.app/api/v1/chats?limit=1&page=1&sortBy=updatedAt&orderBy=desc&filter=unread&type=chat&companyId=61fd1bca835d691ce6fc470d,356,0,95
1650283880989,396,Create List,200,OK,Board 2-1,text,true,,989,936,2,8,https://stagingapi.cicle.app/api/v1/lists,396,0,0
1650283881385,33,Card Pertamax First Kanban to Second,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,33,0,0
1650283881419,56,Card Pertamax Second Kanban to First,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,56,0,0
1650283881475,34,Card Guard from FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,34,0,0
1650283881509,39,Card Guard from SECOND TO FIRST,200,OK,Board 2-1,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,39,0,0
1650283881548,42,Members Toggle,200,OK,Board 2-1,text,true,,3872,915,2,8,https://staging.cicle.app/api/v1/cards/624fdddf3ddcc172ffb9d9c5/members/624bd6240584aec0d02efa3a,42,0,0
1650283881590,34,List Kanban From FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,34,0,0
1650283881625,59,List Kanban From SECOND TO FIRST,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,59,0,0
1650283880896,1472,Delete message,200,OK,GroupChat 1-1,text,true,,1639,926,2,8,https://stagingapi.cicle.app/api/v1/group-chats/624efe4a3ddcc12e5fb91ef7/messages/6251998096738a8af635c8a0,1472,0,0
1650283881220,1181,Navigate to Private chat,200,OK,Notification 4-2,text,true,,18293,869,2,8,https://stagingapi.cicle.app/v2/chats/62517761e1a7f40a8f2cbb54?limit=20,1151,0,0
1650283882402,3371,Notification comment,200,OK,Notification 4-2,text,true,,213513,847,2,8,https://stagingapi.cicle.app/api/v1/notifications,2184,0,0
1650283880584,24263,Navigate to Private chat,200,OK,Notification 4-1,text,true,,18294,869,2,8,https://stagingapi.cicle.app/v2/chats/62517761e1a7f40a8f2cbb54?limit=20,24232,0,0
1650283880857,26151,Create List,200,OK,Board 2-2,text,true,,988,936,2,8,https://stagingapi.cicle.app/api/v1/lists,26151,0,92
1650283881684,25329,Create List,200,OK,Board 2-1,text,true,,989,936,2,8,https://stagingapi.cicle.app/api/v1/lists,25329,0,0
1650283907014,63,Card Pertamax First Kanban to Second,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,63,0,0
1650283907078,43,Card Pertamax Second Kanban to First,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,43,0,0
1650283907009,136,Card Pertamax First Kanban to Second,200,OK,Board 2-2,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,136,0,99
1650283907121,35,Card Guard from FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,35,0,0
1650283907146,33,Card Pertamax Second Kanban to First,200,OK,Board 2-2,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,33,0,0
1650283907156,33,Card Guard from SECOND TO FIRST,200,OK,Board 2-1,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,33,0,0
1650283907180,45,Card Guard from FIRST TO SECOND,200,OK,Board 2-2,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,45,0,0
1650283907189,38,Members Toggle,200,OK,Board 2-1,text,true,,3872,915,2,8,https://staging.cicle.app/api/v1/cards/624fdddf3ddcc172ffb9d9c5/members/624bd6240584aec0d02efa3a,38,0,0
1650283907226,34,Card Guard from SECOND TO FIRST,200,OK,Board 2-2,text,true,,3872,1158,2,8,https://staging.cicle.app/api/v1/cards/position,34,0,0
1650283907227,34,List Kanban From FIRST TO SECOND,200,OK,Board 2-1,text,true,,3872,1128,2,8,https://staging.cicle.app/api/v1/lists/position,34,0,0
